id,vehicle_id,trip_id,curr_lat,curr_lon,prev_lat,prev_lon,heading,speed,curr_timestamp
75,1,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:40:47
76,2,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:40:48
77,1,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:40:49
78,2,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:40:50
79,1,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:40:51
80,2,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:40:52
81,1,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:40:53
82,2,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:40:54
83,1,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:40:55
84,2,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:40:56
85,1,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:40:57
86,2,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:40:58
87,1,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:40:59
88,2,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:41:00
89,1,,12.91129,77.591495,,,53.900002,0,2014-07-23 10:41:01
90,2,,12.911228,77.591582,,,53.900002,0,2014-07-23 10:41:02
91,1,,12.911232,77.591588,,,53.900002,0,2014-07-23 10:41:03
92,2,,12.91123,77.59159,,,53.900002,0,2014-07-23 10:41:04
93,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:05
94,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:06
95,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:07
96,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:08
97,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:09
98,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:10
99,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:11
100,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:12
101,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:13
102,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:14
103,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:15
104,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:16
105,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:17
106,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:18
107,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:19
108,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:20
109,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:21
110,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:22
111,1,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:23
112,2,,12.911232,77.591597,,,81.029999,0,2014-07-23 10:41:24
